sentence,event1,event2,signal,Doc name,Doc ID ,negated_
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,purchased,by ,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,approved,by ,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",purchased,approved,by ,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,purchased,by,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,approved,by,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",purchased,approved,by,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,purchased,have,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",program,approved,have,wsj_0520.tml, WSJ891030-0181 
"Under a program approved by the company in 1987 that did n't specify a share amount, Nashua had purchased 481,000 shares through Sept. 29.    ",purchased,approved,have,wsj_0520.tml, WSJ891030-0181 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",set,fixed,have,wsj_0106.tml, WSJ891102-0086 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",set,said,have,wsj_0106.tml, WSJ891102-0086 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",fixed,said,have,wsj_0106.tml, WSJ891102-0086 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",set,fixed,set,wsj_0106.tml, WSJ891102-0086 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",set,said,set,wsj_0106.tml, WSJ891102-0086 
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate has n't yet been fixed, but will probably be set at around 8%. ",fixed,said,set,wsj_0106.tml, WSJ891102-0086 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,plummeted,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,criteria,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,meet,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,recommended,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,criteria,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,meet,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,recommended,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,criteria,meet,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,criteria,recommended,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,meet,recommended,because ,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,plummeted,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,criteria,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,meet,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,suspension,recommended,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,criteria,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,meet,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,plummeted,recommended,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,criteria,meet,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,criteria,recommended,because,wsj_0527.tml, WSJ891030-0174 
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.    ,meet,recommended,because,wsj_0527.tml, WSJ891030-0174 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,criteria,because,wsj_0527.tml, WSJ891030-0174 
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. ",requirements,qualify,because,wsj_0527.tml, WSJ891030-0174 
